id,name,short_name,country,type,region,group,lei,tickers,fdic_cert,peer_group,active
nykredit,Nykredit Realkredit A/S,Nykredit,DK,bank,eu,,LIU16F6VZJSD6UKHD557,,,eu_large,true
ing,ING Groep N.V.,ING,NL,holding,eu,,549300NYKK9MWM7GGW15,INGA.AS,,eu_large,true
rabobank,Cooperatieve Rabobank U.A.,Rabobank,NL,bank,eu,,DG3RU1DBUFHT4ZF9WN62,,,eu_large,true
abn-amro,ABN AMRO Bank N.V.,ABN AMRO,NL,bank,eu,,BFXS5XCH7N0Y05NIXW11,ABN.AS,,eu_large,true
deutsche-bank,Deutsche Bank AG,Deutsche Bank,DE,bank,eu,,7LTWFZYICNSX8D621K86,DBK.DE,,eu_large,true
commerzbank,Commerzbank AG,Commerzbank,DE,bank,eu,,851WYGNLUQLFZBSYGB56,CBK.DE,,eu_large,true
helaba,Landesbank Hessen-Thueringen Girozentrale,Helaba,DE,bank,eu,,DIZES5CFO5K3I5R58746,,,eu_large,true
lbbw,Landesbank Baden-Wuerttemberg,LBBW,DE,bank,eu,,B81CK4ESI35472RHJ606,,,eu_large,true
bayernlb,Bayerische Landesbank,BayernLB,DE,bank,eu,,VDYMYTQGZZ6DU0912C88,,,eu_large,true
dz-bank,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,DZ Bank,DE,bank,eu,,529900HNOAA1KXQJUQ27,,,eu_large,true
bnp-paribas,BNP Paribas,BNP Paribas,FR,bank,eu,,R0MUWSFPU8MPRO8K5P83,BNP.PA,,eu_large,true
credit-agricole,Credit Agricole S.A.,Credit Agricole,FR,bank,eu,,969500TJ5KRTCJQWXH05,ACA.PA,,eu_large,true
societe-generale,Societe Generale,Societe Generale,FR,bank,eu,,O2RNE8IBXP4R0TD8PU41,GLE.PA,,eu_large,true
bpce,Groupe BPCE,BPCE,FR,bank,eu,,9695005MSX1OYEMGDF46,,,eu_large,true
credit-mutuel,Confederation Nationale du Credit Mutuel,Credit Mutuel,FR,bank,eu,,9695000CG7B84NLR5984,,,eu_large,true
la-banque-postale,La Banque Postale,La Banque Postale,FR,bank,eu,,96950066U5XAAIRCPA78,,,eu_large,true
kbc,KBC Group NV,KBC,BE,holding,eu,,213800X3Q9LSAKRUWY91,KBC.BR,,eu_large,true
belfius,Belfius Bank SA/NV,Belfius,BE,bank,eu,,A5GWLFH3KM7YV2SFQL84,,,eu_large,true
banco-santander,"Banco Santander, S.A.",Banco Santander,ES,bank,eu,,5493006QMFDDMYWIAM13,SAN.MC,,eu_large,true
bbva,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,ES,bank,eu,,K8MS7FD7N5Z2WQ51AZ71,BBVA.MC,,eu_large,true
caixabank,"CaixaBank, S.A.",CaixaBank,ES,bank,eu,,7CUNS533WID6K7DGFI87,CABK.MC,,eu_large,true
intesa-sanpaolo,Intesa Sanpaolo S.p.A.,Intesa Sanpaolo,IT,bank,eu,,2W8N8UU78PMDQKZENC08,ISP.MI,,eu_large,true
unicredit,UniCredit S.p.A.,UniCredit,IT,bank,eu,,549300TRUWO2CD2G5692,UCG.MI,,eu_large,true
erste-group,Erste Group Bank AG,Erste Group,AT,bank,eu,,PQOH26KWDF7CG10L6792,EBS.VI,,eu_large,true
raiffeisen-bank-international,Raiffeisen Bank International AG,Raiffeisen Bank International,AT,bank,eu,,9ZHRYM6F437SQJ6OUG95,RBI.VI,,eu_large,true
bank-of-ireland,Bank of Ireland Group plc,Bank of Ireland,IE,holding,eu,,635400C8EK6DRI12LJ39,BIRG.IR,,eu_large,true
